COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
OECDTOT,BALANCE,TOTPRODS,IPTRANSF,YTD2022,0.0
OECDTOT,BALANCE,TOTPRODS,OSNATTER,2020,221262.392
OECDTOT,BALANCE,TOTPRODS,OSNATTER,2021,224670.396
OECDTOT,BALANCE,TOTPRODS,OSNATTER,1Q2022,200799.645
OECDTOT,BALANCE,TOTPRODS,OSNATTER,2Q2022,197321.046
OECDTOT,BALANCE,TOTPRODS,OSNATTER,3Q2022,198661.655
OECDTOT,BALANCE,TOTPRODS,OSNATTER,4Q2022,200118.233
OECDTOT,BALANCE,TOTPRODS,OSNATTER,DEC2021,204271.911
OECDTOT,BALANCE,TOTPRODS,OSNATTER,DEC2022,203550.249
OECDTOT,BALANCE,TOTPRODS,PPRECPTS,2020,253480.604
OECDTOT,BALANCE,TOTPRODS,PPRECPTS,2021,259185.77
OECDTOT,BALANCE,TOTPRODS,PPRECPTS,4Q2022,68708.742
OECDTOT,BALANCE,TOTPRODS,PPRECPTS,DEC2021,21736.969
OECDTOT,BALANCE,TOTPRODS,PPRECPTS,DEC2022,22314.912
OECDTOT,BALANCE,TOTPRODS,PPRECPTS,YTD2021,259185.77
OECDTOT,BALANCE,TOTPRODS,PPRECPTS,YTD2022,272529.996
OECDTOT,BALANCE,TOTPRODS,PTRANSF,2020,60443.094
OECDTOT,BALANCE,TOTPRODS,PTRANSF,2021,65905.309
OECDTOT,BALANCE,TOTPRODS,PTRANSF,4Q2022,19205.188
OECDTOT,BALANCE,TOTPRODS,PTRANSF,DEC2021,5759.772
OECDTOT,BALANCE,TOTPRODS,PTRANSF,DEC2022,6606.595
OECDTOT,BALANCE,TOTPRODS,PTRANSF,YTD2021,65905.309
OECDTOT,BALANCE,TOTPRODS,PTRANSF,YTD2022,68921.934
OECDTOT,BALANCE,TOTPRODS,RECYCLED,2020,1742.54
OECDTOT,BALANCE,TOTPRODS,RECYCLED,2021,1705.369
OECDTOT,BALANCE,TOTPRODS,RECYCLED,4Q2022,318.605
OECDTOT,BALANCE,TOTPRODS,RECYCLED,DEC2021,120.871
